Techstack,Links
"Python, Streamlit, FAISS, Groq Llama 3, Jupyter Notebook",https://github.com/45Harry/Equity-Research-Tool
"Dialogflow, NLP, GCP, HTML, JavaScript",https://github.com/45Harry/FooDBOT_END_TO_END_IN_DIALOGFLOW_NLP
"Python, Pandas, Matplotlib, BeautifulSoup, Requests, Web Scraping",https://github.com/45Harry/End_to_End_Cricket_Data_Analysis
"Python, Pandas, Scikit-learn, Cosine Similarity, Streamlit",https://github.com/45Harry/Movie-Recommendation-System
"Python, TensorFlow/Keras, CNN, Image Processing, React, Material UI, REST API",https://github.com/45Harry/Plant-Disease-Classification
"Python, Pandas, Seaborn, Matplotlib, Spotify API",https://github.com/45Harry/Spotify-Data-Analysis
"Python, LSTM, TextBlob, Numpy, Pandas, yfinance, Keras",https://github.com/45Harry/Stocks-Forecasting-and-Sentiment-Analysis
"Python, Pandas, Seaborn, Matplotlib",https://github.com/45Harry/Student-Performance-Analysis
"Python, Tweepy, TextBlob, WordCloud, Seaborn",https://github.com/45Harry/Twitter-Sentiment-Analysis
"Python, YouTube Data API, Pandas, Seaborn, Matplotlib",https://github.com/45Harry/Youtube-Data-Analysis
"Python, Pandas, Random Forest, Streamlit",https://github.com/45Harry/IPL-Winner-Predictor
"Python, Scikit-learn, SVM, Logistic Regression, KNN",https://github.com/45Harry/Breast-Cancer-Prediction
"Python, Streamlit, Regex, Pandas, Data Visualization",https://github.com/45Harry/WhatsApp-Chat-Analyzer
"Python, Pandas, Matplotlib, Seaborn",https://github.com/45Harry/Uber-Ride-Data-Analysis
"Python, Pandas, Geopandas, Folium, Seaborn",https://github.com/45Harry/Earthquake-Data-Analysis
"Python, Pandas, Seaborn, Matplotlib, Exploratory Data Analysis",https://github.com/45Harry/Netflix-Data-Exploration

